rank,moki_name,moki_id,score,class,rarity,stat_strength,stat_speed,stat_defense,stat_dexterity,stat_fortitude,image_url,thumbnail_url,category,page,date_scraped
84,Straw Barry,7303,15375,Defender,Legendary,224.00,283.42,486.20,30.00,55.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_8242b5f72e01caa3dfbf87b50495295a3ee25a67bde3e42214afa776c6b9f574_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_8242b5f72e01caa3dfbf87b50495295a3ee25a67bde3e42214afa776c6b9f574_64x64.png,Champion,1,2026-02-27 07:44 UTC
85,Burns Wenipee,1001,15355,Defender,Legendary,241.46,244.23,445.00,38.02,32.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_f0a4e96834ec84aaaf07ea15992ccbf4f6667c228e60a7b003a6ad09de000858_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_f0a4e96834ec84aaaf07ea15992ccbf4f6667c228e60a7b003a6ad09de000858_64x64.png,Champion,1,2026-02-27 07:44 UTC
86,Caipirinha Time,8717,15350,Defender,Legendary,244.00,307.80,512.86,37.00,19.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_d88e0138e8d76192095181cc2809d3d2808044a2022e269ffa1b912a55c26fad_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_d88e0138e8d76192095181cc2809d3d2808044a2022e269ffa1b912a55c26fad_64x64.png,Champion,1,2026-02-27 07:44 UTC
87,soda,2906,15350,Striker,Legendary,60.00,371.75,71.00,540.42,300.92,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_soda_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_soda_64x64.png,Champion,1,2026-02-27 07:44 UTC
88,69,3527,15315,Sprinter,Legendary,58.00,508.25,425.02,262.57,42.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_305ff2894ee91b96482221a9e0f908cce7c0b4e8b568bf80add478aa3c4c3197_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_305ff2894ee91b96482221a9e0f908cce7c0b4e8b568bf80add478aa3c4c3197_64x64.png,Champion,1,2026-02-27 07:44 UTC
89,Milo Thatch,4813,15305,Defender,Legendary,225.00,332.77,409.33,9.00,32.27,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_c88c13e5fc130467fa7f7bd14e6ea9ce7de53575e8ddb8562d3a5525d618b01f_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_c88c13e5fc130467fa7f7bd14e6ea9ce7de53575e8ddb8562d3a5525d618b01f_64x64.png,Champion,1,2026-02-27 07:44 UTC
90,Nisheep,5168,15260,Defender,Legendary,277.67,310.14,501.56,25.00,25.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_dfc7729238f0f2820297c1cad0ad1ec3855f5e2108c8f757d6e00dd01d410554_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_dfc7729238f0f2820297c1cad0ad1ec3855f5e2108c8f757d6e00dd01d410554_64x64.png,Champion,1,2026-02-27 07:44 UTC
91,Mushi,3582,15260,Defender,Legendary,232.52,291.09,490.37,37.33,72.92,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_232a49aafdcac73b680b66fd342556b3c9eff0ef8091d0b0c698dcb95dab12d7_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_232a49aafdcac73b680b66fd342556b3c9eff0ef8091d0b0c698dcb95dab12d7_64x64.png,Champion,1,2026-02-27 07:44 UTC
92,Neuty,4642,15250,Striker,Legendary,17.00,280.32,11.00,460.01,330.41,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_6b31ae120274eb17e256e7801b0263225d1498261e65e4dd06ce8008728b9738_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_6b31ae120274eb17e256e7801b0263225d1498261e65e4dd06ce8008728b9738_64x64.png,Champion,1,2026-02-27 07:44 UTC
93,Specter,3320,15250,Striker,Legendary,58.00,330.96,42.00,565.08,300.43,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_eecb22c7011b3be47e97194374d14fa6dddbadc30b624e0caad1ff40f70cfc33_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_eecb22c7011b3be47e97194374d14fa6dddbadc30b624e0caad1ff40f70cfc33_64x64.png,Champion,1,2026-02-27 07:44 UTC
94,Maid of Shadows,8086,15215,Defender,Legendary,255.00,368.65,560.19,49.00,52.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_0fdb0f4d3be27cff1befb905d2b20e77b1c1e35df099bf7ef49a99c966708a49_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_0fdb0f4d3be27cff1befb905d2b20e77b1c1e35df099bf7ef49a99c966708a49_64x64.png,Champion,1,2026-02-27 07:44 UTC
95,Gruyere,7181,15195,Defender,Legendary,270.00,349.39,567.79,61.00,101.43,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_Gruyere_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_Gruyere_64x64.png,Champion,1,2026-02-27 07:44 UTC
96,Cammyyy,3284,15185,Defender,Legendary,249.94,324.38,545.09,68.48,88.65,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_235c9a314918a6603cf62512c232d2d8f0484ffc46b57b78f11a498afc51f3e5_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_235c9a314918a6603cf62512c232d2d8f0484ffc46b57b78f11a498afc51f3e5_64x64.png,Champion,1,2026-02-27 07:44 UTC
97,Valkyrie,2730,15180,Striker,Legendary,49.00,397.68,59.00,519.01,339.60,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_155687a723c11968a227e0956ccdaa123d4ab999c7d211efb2a037f77b2ebcf6_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_155687a723c11968a227e0956ccdaa123d4ab999c7d211efb2a037f77b2ebcf6_64x64.png,Champion,1,2026-02-27 07:44 UTC
98,CitraVale,7947,15150,Sprinter,Legendary,37.00,452.00,254.00,386.00,138.66,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_55e0cc1502554636347b20362d902298dcf8cb2131899ca22367375c0c6c3200_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_55e0cc1502554636347b20362d902298dcf8cb2131899ca22367375c0c6c3200_64x64.png,Champion,1,2026-02-27 07:44 UTC
99,SMG Loves You,3841,15150,Striker,Legendary,49.00,353.77,45.00,546.45,305.10,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_d56d26ec644956177eb555e755c40b8f83c8d3458c6fdf83ff348d7b4b03abfc_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_d56d26ec644956177eb555e755c40b8f83c8d3458c6fdf83ff348d7b4b03abfc_64x64.png,Champion,1,2026-02-27 07:44 UTC
100,Tea Bone,670,15120,Defender,Legendary,219.00,295.63,551.17,25.00,21.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_c598115170e62e11ca5b52d9f732a2ec1769e558d78488512f821a8e398307dc_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_c598115170e62e11ca5b52d9f732a2ec1769e558d78488512f821a8e398307dc_64x64.png,Champion,1,2026-02-27 07:44 UTC
1,Moki #4234,4234,7720,Center,Legendary,258.00,245.00,270.59,60.94,258.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_d8d5efb7c0e2ba6548c61479dea43401abc4cd6b71562edb745f69cb4c20c188_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_d8d5efb7c0e2ba6548c61479dea43401abc4cd6b71562edb745f69cb4c20c188_64x64.png,Non-Champion,1,2026-02-27 07:44 UTC
2,Moki #6780,6780,7610,Sprinter,Legendary,22.00,422.00,220.00,215.00,21.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_958403ab9934b43dfb9b99a154e30d8d34f998cde8d5c59a9fa22cf2f8977d47_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_958403ab9934b43dfb9b99a154e30d8d34f998cde8d5c59a9fa22cf2f8977d47_64x64.png,Non-Champion,1,2026-02-27 07:44 UTC
